window_samples,window_s,model,split,n_parameters,best_epoch,train_time_s,n,mae_mps,rmse_mps,r2,mae_kmh,rmse_kmh
20,2.0,cnn_mag,train,27650,18,182.34211444854736,61055,3.122051345794673,4.354419404980912,0.7686694140478858,11.239384844860822,15.675909857931284
20,2.0,cnn_mag,val,27650,18,182.34211444854736,105676,4.271745189261977,5.7732623009689314,-0.037232153056169226,15.378282681343117,20.783744283488154
20,2.0,cnn_mag,test,27650,18,182.34211444854736,301580,4.926536414860142,7.020391389688208,-0.16838553380169508,17.735531093496512,25.27340900287755
