epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s,val_nll,val_mean_sigma_mps
1,0.0010041841004184101,6.5315502689097675,True,7.588646474338494,9.48757298258092,-1.8019214620361423,True,8.472216844558716,3.6711872515753714,9.053260803222656
2,0.002,3.623627012724023,True,5.901845570412013,7.5541905590070915,-0.776321491737046,True,6.429798126220703,3.4701890172378578,9.053260803222656
3,0.0019985627455741013,3.275078602816994,True,5.7494368087010574,7.456807181989438,-0.7308184856332443,True,5.705492258071899,3.4612712869835898,9.053260803222656
4,0.001994255198011272,2.9221019950973157,False,5.1088019456498,6.627106145571389,-0.3670788103379279,True,7.357393503189087,4.286888818426374,3.5382029302631235
5,0.0019870899920906957,2.8559710983488285,False,4.399293271435133,5.806904966985759,-0.04962734316057871,True,5.982439041137695,3.819298839001443,3.736346026454055
6,0.001977088144595885,2.827513701690524,False,4.542002670931231,5.982354595444501,-0.11401234032445418,False,5.984248399734497,3.528316352953356,3.7871800061181147
7,0.0019642789926688385,2.8041721493924934,False,5.587346032534618,7.314429646158864,-0.6653542604729323,False,5.391887426376343,4.137997598239901,4.056687239931458
8,0.0019487001077591465,2.7849042111433584,False,4.648399472210917,6.052826534896553,-0.14041298628191012,False,4.884969234466553,3.708502174301931,3.797555301170148
9,0.0019303971854204558,2.770596858756784,False,4.761557646378961,6.180594316690095,-0.18906658511501595,False,5.887709379196167,4.1477242643719245,3.5141468727650493
10,0.001909423911277538,2.7569617807893487,False,5.078499422205632,6.6693749320046045,-0.3845733370335216,False,6.9699413776397705,4.546576757240815,3.459068304842774
11,0.0018858418035571024,2.740931725203732,False,4.594775152941759,5.98968433943594,-0.11674384925739312,False,8.017135620117188,3.910863850031874,3.608776090523968
12,0.0018597200326442374,2.7259777186121634,False,4.966511808347588,6.548339828720493,-0.33477516294826626,False,5.314356327056885,4.194497043570476,3.728132268352751
13,0.0018311352181937528,2.7170439499401513,False,5.27685955372226,6.924262602747259,-0.49242583607829604,False,5.51962947845459,4.367720751881646,3.922713363978962
14,0.0018001712043915308,2.7046122534310593,False,4.996641049150719,6.600951975887618,-0.3563096280085325,False,6.162521839141846,4.388515196374968,3.384287891751562
15,0.0017669188140250838,2.6978064997458473,False,4.798274117721536,6.205503082298793,-0.19867014823562612,False,4.894397735595703,4.947334823360132,3.115295742427487
