epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s,val_nll,val_mean_sigma_mps
1,0.0010041841004184101,4.978093522234051,True,7.350511771577525,9.23570478629422,-1.6544434451890173,True,5.98062539100647,3.6424188883393733,9.053260803222656
2,0.002,3.5304003562361803,True,6.597363962276516,8.097628149101801,-1.0405585057933742,True,6.102652311325073,3.5220779126610693,9.053260803222656
3,0.0019985627455741013,3.227320397592335,True,5.949200088935001,7.6923305559274135,-0.8414047914223377,True,5.0697550773620605,3.4830374496046486,9.053260803222656
4,0.001994255198011272,2.940105488903448,False,5.546514605994077,7.288016707219006,-0.6529210517375372,True,4.007396459579468,3.652369251428382,4.401896185063229
5,0.0019870899920906957,2.875798204487757,False,5.671843926761506,7.4102535042903375,-0.7088326079904916,False,3.4488823413848877,3.7897612757003953,4.27701997507543
6,0.001977088144595885,2.8512307038735565,False,5.293574362626031,6.878413583424516,-0.47234627740119817,True,3.2844088077545166,5.07445320732116,3.6581478174030613
7,0.0019642789926688385,2.828634018507903,False,5.856795905402714,7.412157295039708,-0.7097107635385715,False,3.5496625900268555,4.197983915100691,4.09117338489433
8,0.0019487001077591465,2.8203934976660388,False,5.919609345315995,7.763571029391556,-0.8756700909608213,False,3.4183006286621094,3.8908229803133203,4.449186351562441
9,0.0019303971854204558,2.8109716648923104,False,4.864614268287965,6.481144412176197,-0.307184196557303,True,3.3532843589782715,3.95674951968782,3.943064841615779
10,0.001909423911277538,2.7823908770780443,False,4.650648090902189,6.200687990675263,-0.19650123028497446,True,3.59183406829834,4.653551875079044,3.650392612427639
11,0.0018858418035571024,2.779875470886905,False,5.063809003839085,6.797264501692898,-0.4378107676322236,False,3.653461456298828,3.6689320569294352,4.3975293777973015
12,0.0018597200326442374,2.7752753664728522,False,4.946217142826821,6.666698536171361,-0.38310460059751006,False,3.608574151992798,3.8646734731509325,4.019772792477621
13,0.0018311352181937528,2.7698376463844077,False,4.801847896127108,6.407067043890848,-0.27747358511299414,False,3.601714611053467,3.8223006129394634,3.871915371914054
14,0.0018001712043915308,2.7505735095405783,False,4.612450261002466,6.221170127273337,-0.20441886049684843,True,3.5429298877716064,3.9748740704711234,3.8298949856915865
15,0.0017669188140250838,2.746935140447138,False,5.029499370322103,6.765265183274961,-0.42430513844288087,False,3.07700252532959,4.870305661184831,3.6312230002208223
16,0.0017314755820846683,2.739331596511342,False,5.269329131252869,7.0037753035605395,-0.5265034875123595,False,3.456315279006958,3.6613828766171355,3.983051188641229
17,0.001693945469676355,2.7366347453116044,False,4.543009222851015,6.131282308918477,-0.16986572827858737,True,3.514188528060913,5.921013423708258,3.4843852656445273
18,0.0016544385590861912,2.729852182458439,False,5.077454233363145,6.767038697348924,-0.42505199942731364,False,3.551398754119873,3.7778919214106352,4.231046889078392
19,0.00161307073088989,2.7215108303988207,False,4.810820437386836,6.450738327084255,-0.29494774046092176,False,3.525184154510498,4.123166936515631,3.7467089583929116
20,0.0015699633240551347,2.709814665056097,False,4.550194364059915,6.089205412628375,-0.1538640465400396,False,3.5868871212005615,3.754572200393506,4.226250886579541
21,0.0015252427800334814,2.710890283351077,False,4.5586667389779185,6.152807665916853,-0.17809434328796048,False,3.3632290363311768,3.827846993535317,3.8402421020766373
22,0.0014790402718857945,2.7073870383260994,False,4.437667873393159,6.035245917842217,-0.1335047221976715,True,3.5380871295928955,3.5589711699687907,4.165382541304074
23,0.0014314913195290593,2.7037179592170992,False,4.753248111700461,6.470041186658739,-0.3027092064476553,False,3.726188898086548,3.5230600974960127,4.11295226148576
24,0.0013827353922331164,2.6906255118335927,False,4.456934815303825,6.106079092443576,-0.16026780779550753,False,3.4047577381134033,3.578994452487648,4.577640074517559
25,0.0013329154995332603,2.6910267893702398,False,5.12349367084002,6.815847452103588,-0.4456831372381964,False,3.3935904502868652,4.089658972334435,3.9163838731951093
26,0.0012821777717586366,2.68531319097535,False,4.363574870245728,5.9915002006448335,-0.11713214389737447,True,3.5806314945220947,3.437253759282171,4.119043034987887
27,0.0012306710314068036,2.6753106829907463,False,5.070559834385438,6.887089588746239,-0.4760628728640386,False,3.419294595718384,3.956277740323175,4.081284430237144
28,0.0011785463566217095,2.672496877815085,False,4.573238990598716,6.277188613654503,-0.22620687962641917,False,3.3160629272460938,3.7623280150235434,4.056512073301124
29,0.0011259566380554629,2.6591390447137826,False,4.83891574495644,6.593918260632025,-0.35307076408868654,False,3.3916332721710205,4.0153394938354126,3.9499820752848493
30,0.001073056130413709,2.6645790680533943,False,4.632832875020532,6.318248278126894,-0.24230080651874442,False,3.712019443511963,3.7403062995809937,4.201616119577448
31,0.00102,2.651381694783392,False,4.420634740472729,6.049766216148953,-0.1389655190582697,False,3.755077362060547,3.4413032775332617,4.072573748411593
32,0.0009669438695862908,2.645429837851118,False,5.305360430512917,7.134533522648807,-0.5840342132426679,False,3.7706241607666016,4.7052048032626095,3.8501391444655457
33,0.0009140433619445373,2.662140692817951,False,4.502429137590034,6.161970084090997,-0.18160566061285777,False,3.2131640911102295,3.49749568615264,4.037463211301775
34,0.0008614536433782906,2.6496716587503073,False,4.668854593035975,6.3732940587223315,-0.26404142172586176,False,3.167656898498535,4.053298837810254,3.791645134070418
35,0.0008093289685931965,2.6423056056015066,False,4.940346622181766,6.751060486288266,-0.4183303296289489,False,3.551966667175293,3.9049135052397848,4.195807544709903
36,0.0007578222282413639,2.633967580460241,False,4.739618868334204,6.467812643781592,-0.3018119499203735,False,3.192340612411499,3.773469185267411,3.947698929860261
