epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s
1,0.0010041841004184101,4.555350423040976,False,6.953251311696477,8.814980285796834,-1.418735557470804,True,3.160285234451294
2,0.002,3.173070951596242,False,5.334278145562954,7.0385145091733285,-0.5420828910770592,True,3.186702251434326
3,0.0019985627455741013,2.872648576745864,False,5.071036151356198,6.591131673269233,-0.35227703896415674,True,5.171050786972046
4,0.001994255198011272,2.72208600808369,False,5.430983866749148,7.065005585357185,-0.5537127064892502,False,4.965776681900024
5,0.0019870899920906957,2.616194844802991,False,4.606060262241375,6.170053646153817,-0.18501426560562684,True,5.369808197021484
6,0.001977088144595885,2.555032988587732,False,6.063130372363842,7.814119625719932,-0.9006660155042054,False,5.139723539352417
7,0.0019642789926688385,2.5232918490825913,False,4.653125767335634,6.104683881771993,-0.16003757855252254,False,5.093766689300537
8,0.0019487001077591465,2.4739547465033533,False,4.584307674105321,6.135447513987857,-0.17175870602176602,True,4.729510068893433
9,0.0019303971854204558,2.432244781674783,False,4.379914322483799,5.894253811539202,-0.08144232908930449,True,4.251931428909302
10,0.001909423911277538,2.4048375575942416,False,4.6163390100534425,6.149719337507432,-0.17721636285244946,False,3.657829761505127
11,0.0018858418035571024,2.386743537557184,False,4.688359789003907,6.259401414162039,-0.21958284200103928,False,3.659444808959961
12,0.0018597200326442374,2.3548366352665324,False,4.6703512973053725,6.177779179175746,-0.18798363954520547,False,3.4535510540008545
13,0.0018311352181937528,2.3334639964254675,False,5.14182733960795,6.795732599145538,-0.4375344525006353,False,3.6441636085510254
14,0.0018001712043915308,2.309560080426976,False,4.428309780240339,5.953272927032414,-0.10320770100146537,False,3.435051202774048
15,0.0017669188140250838,2.29311907660649,False,4.2390034694441825,5.659781301336141,0.0028855765518451815,True,3.1060259342193604
16,0.0017314755820846683,2.2665265753357273,False,4.866319091966712,6.458695008298394,-0.29847996214954353,False,3.520385503768921
17,0.001693945469676355,2.249566762178825,False,5.182664900765555,6.892774239278567,-0.4788829662583667,False,3.646967649459839
18,0.0016544385590861912,2.228011707413055,False,4.306392961879312,5.807398131935353,-0.0498056348321636,False,3.4964067935943604
19,0.00161307073088989,2.2227710926099005,False,4.280799739913449,5.741552205891619,-0.026134606669849125,False,3.6656131744384766
20,0.0015699633240551347,2.206808674389624,False,4.151592270008692,5.576164470281445,0.0321304022565323,True,3.6236329078674316
21,0.0015252427800334814,2.187268905668421,False,4.175748786540371,5.659215096480244,0.0030850693444194333,False,3.147176504135132
22,0.0014790402718857945,2.1808190167576695,False,4.2732774390124675,5.814449328919798,-0.052356477758413345,False,3.6670854091644287
23,0.0014314913195290593,2.1669861507370425,False,4.629220039313664,6.28440189399992,-0.22934449303486137,False,3.2598648071289062
24,0.0013827353922331164,2.136910837555545,False,4.785640762107864,6.4546216496136,-0.2968426323978617,False,3.107130289077759
25,0.0013329154995332603,2.1317706539918344,False,4.868177104809878,6.576109512750106,-0.3461199860295081,False,3.6427927017211914
26,0.0012821777717586366,2.1304252084460624,False,4.916038088023356,6.649145215618908,-0.3761866301507917,False,3.563689947128296
27,0.0012306710314068036,2.110851236738977,False,4.910541998236449,6.64457936611266,-0.37429727340741015,False,3.5609130859375
28,0.0011785463566217095,2.1043611240920197,False,4.9144169520894385,6.6263195074698835,-0.3667542848417207,False,3.6081511974334717
29,0.0011259566380554629,2.1010270375243905,False,4.464008708369668,6.106624582938432,-0.16077525610355003,False,3.2035601139068604
30,0.001073056130413709,2.0879176863511897,False,4.578542789207266,6.2156396567466965,-0.2025893576112665,False,3.0289368629455566
