epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s,val_nll,val_mean_sigma_mps
1,0.0010041841004184101,4.92642852755712,True,6.303266425731117,8.067576410990908,-1.0254408590816717,True,9.36880874633789,3.519114373016267,9.053260803222656
2,0.002,3.6027360064695766,True,6.445031832333792,8.258813383019037,-1.1226026276894077,False,8.034585952758789,3.5381611703597486,9.053260803222656
3,0.0019985627455741013,3.2941748218819096,True,5.51276775002378,7.184443849186196,-0.6062742656254927,True,7.908562660217285,3.4369443870936154,9.053260803222656
4,0.001994255198011272,3.113512406846286,True,5.599971595780387,7.373393153372455,-0.6918746157871931,False,7.5821380615234375,3.4537247786552734,9.053260803222656
5,0.0019870899920906957,2.973914400949963,True,5.824410513215938,7.62938049040169,-0.8113898952076362,False,7.779516220092773,3.47715357517874,9.053260803222656
6,0.001977088144595885,2.8982134448448122,True,5.799045793740594,7.624736596459401,-0.8091854324809096,False,8.043235301971436,3.4767214303607847,9.053260803222656
7,0.0019642789926688385,2.837979332159528,True,5.530837972369729,7.457465048288424,-0.7306762940830627,False,8.16225266456604,3.4613311418748656,9.053260803222656
8,0.0019487001077591465,2.772817797477684,True,6.715510611543682,8.806054324822483,-1.4132155350724735,False,7.714398622512817,3.5951305445451074,9.053260803222656
9,0.0019303971854204558,2.760672498157399,True,5.334684732647049,7.111454795164442,-0.5738027479662096,True,7.482243299484253,3.430578936719934,9.053260803222656
10,0.001909423911277538,2.710377170174433,True,5.524537934948797,7.304328524635401,-0.6603283671738731,False,7.806318044662476,3.4475407104472238,9.053260803222656
11,0.0018858418035571024,2.8494833039882073,False,6.027253770170149,7.886429906792103,-0.9355049541534393,False,7.886595249176025,4.703355146615605,3.875351393374872
12,0.0018597200326442374,2.7717240090901645,False,5.98600578929908,7.861176392584553,-0.9231292544612404,False,4.987614393234253,4.37642654746785,3.769502509064554
13,0.0018311352181937528,2.757303865367292,False,5.378150068810466,7.247809552591181,-0.6347334072986373,False,5.395151615142822,4.069024202924406,3.8308101560211347
14,0.0018001712043915308,2.7436059188436657,False,5.262143330265141,6.970694253068664,-0.5121172238379461,True,5.218894958496094,4.0428373636556225,3.6065589881850486
15,0.0017669188140250838,2.7323432765539266,False,4.7603186112707245,6.436851071766641,-0.28937817256198195,True,5.337815761566162,3.8936498152198236,3.768124361570474
16,0.0017314755820846683,2.716820387355663,False,4.857631717897521,6.588398850222332,-0.3508065481936844,False,5.13922643661499,3.596872538361453,3.9633009023085926
17,0.001693945469676355,2.723185549914012,False,4.939639198575217,6.587236140717581,-0.35032981414635733,False,5.4699013233184814,4.185624445962996,3.8701262140068513
18,0.0016544385590861912,2.7070617680779625,False,4.271745189261977,5.7732623009689314,-0.037232153056169226,True,5.658170461654663,3.620913227235392,4.0187709713607465
19,0.00161307073088989,2.7006369769060683,False,4.842633105760218,6.505848853709787,-0.3171684833613313,False,5.72052001953125,4.056273584662437,3.8924907151894637
20,0.0015699633240551347,2.6918710588813366,False,5.464059015479632,7.20630123380343,-0.6160627368051323,False,5.808124542236328,4.905913822671897,4.034611919299831
21,0.0015252427800334814,2.694203740479895,False,5.084740645978818,6.814092450873403,-0.44493873999176037,False,5.775827407836914,4.119585676243126,3.937305377393926
22,0.0014790402718857945,2.681631060109737,False,4.9239208863055355,6.621501266328296,-0.3644144955091366,False,5.7560882568359375,5.047731815349742,3.4856425622048968
23,0.0014314913195290593,2.6840190197363034,False,5.0656251306129105,6.805322470478557,-0.44122175792844875,False,5.384305715560913,4.162274182093711,4.086870667902854
24,0.0013827353922331164,2.668996703791663,False,4.536851875379565,6.166178464063782,-0.18322019089760255,False,5.731207847595215,3.7805412118641915,4.226672926171529
25,0.0013329154995332603,2.666702921546147,False,4.4791300102565925,6.058236434388919,-0.14215706058395106,False,5.7352375984191895,4.280719179580339,3.8628881260622387
26,0.0012821777717586366,2.6620928363770373,False,4.806738182270933,6.489124458157895,-0.31040517460251427,False,5.813094854354858,3.9433570497662753,4.003641423695725
27,0.0012306710314068036,2.653236067889608,False,5.107811473166236,6.817081836511313,-0.4462068256949123,False,5.778429985046387,5.0400600512704,3.79239264526712
28,0.0011785463566217095,2.6548626750470885,False,4.414085476515824,6.061678052791781,-0.14345512326050702,False,5.468494653701782,3.4688325416592076,4.4296002109949635
