epoch,lr,train_loss,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s
1,0.0010041841004184101,6.108165982094545,7.64524311521295,9.59666208277228,-1.8667254623137715,True,5.5069260597229
2,0.002,3.2239327131191895,6.313721493887178,8.130616682339838,-1.0577502916996546,True,3.585329532623291
3,0.0019985627455741013,2.8338667461918114,5.4803521273263165,7.179545423630146,-0.6044995274558691,True,3.9612903594970703
4,0.001994255198011272,2.6363425812058305,5.5040921106180285,7.187138227855201,-0.6078950328862458,False,3.40435791015625
5,0.0019870899920906957,2.509217896846869,5.078768606756537,6.653537938643488,-0.3780055717943813,True,3.550344944000244
6,0.001977088144595885,2.4177673110662927,5.478239558421374,7.129783393658477,-0.5823347665716052,False,3.6466948986053467
7,0.0019642789926688385,2.337210184137603,5.131175786238973,6.573113671332278,-0.34489377670063814,False,3.770747661590576
8,0.0019487001077591465,2.2976318211258135,5.408752664643477,7.027924378895597,-0.5374459544021606,False,3.782216787338257
9,0.0019303971854204558,2.2548112200141013,4.36956850637356,5.7880756002926,-0.04283137341584986,True,3.765373468399048
10,0.001909423911277538,2.2000485246855885,5.101492647495868,6.627587891729348,-0.3672775724785651,False,3.5559675693511963
11,0.0018858418035571024,2.166550350894453,5.252482669826517,6.898943500699809,-0.48153144952000093,False,3.6312546730041504
12,0.0018597200326442374,2.133867028014167,5.489415683616214,7.129345112998854,-0.5821402346001852,False,3.9690678119659424
13,0.0018311352181937528,2.1120447544148755,4.949130941500143,6.578543175298491,-0.3471165047081155,False,3.5383307933807373
14,0.0018001712043915308,2.0861199159247055,5.137817969115495,6.8414215300265315,-0.45692903535705587,False,3.5391619205474854
15,0.0017669188140250838,2.0672201401528194,5.782674268577252,7.513887924756676,-0.7574182187843237,False,3.5911812782287598
16,0.0017314755820846683,2.0440292347139555,5.110525237427502,6.843735374644978,-0.45791470111849786,False,3.4885685443878174
17,0.001693945469676355,2.0365098299637627,5.338923863188027,6.9689438856043555,-0.511748803545601,False,3.668140411376953
18,0.0016544385590861912,2.0197270524865956,5.21568139786976,6.89978637404452,-0.48189348166308954,False,3.9258553981781006
19,0.00161307073088989,2.0072783185350977,5.403757119095277,7.082757337840533,-0.5615303291806584,False,3.7280752658843994
