epoch,lr,train_loss,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s
1,0.0010041841004184101,4.494858119728114,6.598906466731906,8.459678989929015,-1.2271073906502612,True,3.6499428749084473
2,0.002,3.064799668331832,5.755356948440977,7.451066129341037,-0.727707535662131,True,2.9803287982940674
3,0.0019985627455741013,2.795665793137335,4.962250907358505,6.509472840144401,-0.3186363103272316,True,3.070122480392456
4,0.001994255198011272,2.6556143026779133,5.796355161156597,7.254928947927674,-0.6379465241353051,False,2.966034412384033
5,0.0019870899920906957,2.5367793383015314,5.176570812277051,6.69133118156181,-0.3933442916134573,False,2.8375213146209717
6,0.001977088144595885,2.481414298583245,5.750741387783902,7.465655680267458,-0.7344800308716319,False,2.9367008209228516
7,0.0019642789926688385,2.4085663029235933,5.92597211635472,7.619847853327056,-0.8068661897656111,False,2.9788014888763428
8,0.0019487001077591465,2.3731141491278356,5.153209939454681,6.747554499255104,-0.4168575664839238,False,2.830357551574707
9,0.0019303971854204558,2.332645514290394,5.402926120936036,7.061039398759744,-0.5515674544941753,False,3.2257261276245117
10,0.001909423911277538,2.31406876996151,4.833413321114195,6.3858403425657935,-0.26902303159006347,True,3.2578392028808594
11,0.0018858418035571024,2.2651886618622554,5.381850059010841,6.992853141528237,-0.5217461338201912,False,3.0817954540252686
12,0.0018597200326442374,2.237959114732618,4.794425021819218,6.358368188753905,-0.25812773717582016,True,2.830580711364746
13,0.0018311352181937528,2.212737234870199,5.575861390490772,7.311925904761169,-0.6637840457652064,False,2.9660584926605225
14,0.0018001712043915308,2.1955810846777495,4.7634606583649495,6.318946918351439,-0.24257555650051343,True,2.8065786361694336
15,0.0017669188140250838,2.150555083531242,5.113185943489622,6.809127511353045,-0.4428338610500524,False,2.846172571182251
16,0.0017314755820846683,2.1368163182786013,5.000738294423866,6.657615590330624,-0.37933838672051534,False,2.8889636993408203
17,0.001693945469676355,2.132699000900827,4.916460083929864,6.547872231916585,-0.3342394723696629,False,2.942204475402832
18,0.0016544385590861912,2.1066029092621408,4.897787006603891,6.549108157377888,-0.33474320124680434,False,2.884962558746338
19,0.00161307073088989,2.097102893907133,5.328835160118161,7.02958974730834,-0.5377769671764654,False,2.8517768383026123
20,0.0015699633240551347,2.0710229250266154,5.7687217789316145,7.540396994365851,-0.7693828565127163,False,3.013779878616333
21,0.0015252427800334814,2.076172482802391,5.238016736164515,6.877965986958923,-0.47215466474519396,False,3.1995232105255127
22,0.0014790402718857945,2.042562034231431,5.619708881091851,7.348458027318415,-0.6804509001729169,False,2.9117093086242676
23,0.0014314913195290593,2.0330228636065844,5.129570466448323,6.8834665449366375,-0.47451027688444136,False,2.9238736629486084
24,0.0013827353922331164,2.0132576416755383,4.6918291414270135,6.281578122812473,-0.2279224018374595,True,3.128187417984009
25,0.0013329154995332603,2.0214294488575875,5.127865695509603,6.847897948745605,-0.45931131897786925,False,3.0320897102355957
26,0.0012821777717586366,1.9998264884120875,5.042081989335596,6.642428824876227,-0.37305271393939976,False,2.970200777053833
27,0.0012306710314068036,1.9871953310539678,5.698642314072111,7.493274902096772,-0.7473372005915813,False,3.435396671295166
28,0.0011785463566217095,1.9754824031610843,5.259045938214359,7.0304746322192795,-0.5381641423401771,False,3.169001817703247
29,0.0011259566380554629,1.9483233611088362,5.151264290674473,6.902897598615977,-0.48284669500266375,False,2.9644036293029785
30,0.001073056130413709,1.956613273892392,5.003193584464055,6.719519500655509,-0.4051083967715101,False,2.8076207637786865
31,0.00102,1.9387639730570796,5.016847215220174,6.727321735493797,-0.4083733178447775,False,2.882462978363037
32,0.0009669438695862908,1.9270598742936695,5.309040554601845,7.071844633963416,-0.5563196950035687,False,3.3311233520507812
33,0.0009140433619445373,1.922193360494636,5.314708292143961,7.027137223997053,-0.5367041375817252,False,2.9714319705963135
34,0.0008614536433782906,1.9134445888952585,5.541101156386086,7.353335467495542,-0.6826823938542403,False,3.095174551010132
