epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s
1,0.0010041841004184101,6.5315502689097675,False,7.588646474338494,9.48757298258092,-1.8019214620361423,True,5.078059673309326
2,0.002,3.623627012724023,False,5.901845570412013,7.5541905590070915,-0.776321491737046,True,4.31964898109436
3,0.0019985627455741013,3.275078602816994,False,5.7494368087010574,7.456807181989438,-0.7308184856332443,True,4.1911725997924805
4,0.001994255198011272,3.028883460819519,False,5.690328752462355,7.4019538307860415,-0.7054478433782485,True,4.253308296203613
5,0.0019870899920906957,2.869038944775116,False,4.750720910819907,6.159748414530285,-0.18105914655381072,True,3.9566104412078857
6,0.001977088144595885,2.787401925820257,False,5.548490226685916,7.286670137892886,-0.6527376400848044,False,4.272130012512207
7,0.0019642789926688385,2.7067284831193534,False,5.394108660895996,7.111859933868228,-0.5743891491654785,False,4.025086164474487
8,0.0019487001077591465,2.6604050863298734,False,5.05148510008554,6.650338916603102,-0.3766807997744126,False,3.8442702293395996
9,0.0019303971854204558,2.6217131827274667,False,4.930479346938706,6.396330534846686,-0.2735250582202329,False,4.030087232589722
10,0.001909423911277538,2.585261766851952,False,5.230601446700988,6.783742716141619,-0.43246637049251646,False,4.224422454833984
11,0.0018858418035571024,2.5506288737763785,False,5.323287341695281,6.873999862723045,-0.47083764466325295,False,4.345370292663574
12,0.0018597200326442374,2.5280779612868316,False,5.915955150795491,7.668943977120872,-0.8306985131210274,False,4.337397813796997
13,0.0018311352181937528,2.523911089658452,False,5.010200236931673,6.6320519780789,-0.36912008315862144,False,3.7488536834716797
14,0.0018001712043915308,2.493243437125945,False,5.759775502650022,7.579007470994565,-0.7880117513015621,False,4.322634220123291
15,0.0017669188140250838,2.4789481262400184,False,4.757646733110529,6.22459104908395,-0.20605564626419004,False,3.6871135234832764
