window_samples,model,split,n,mae_mps,rmse_mps,r2,mae_kmh,rmse_kmh
20,constant_mean,val,105676,9.01652670254739,10.382135090398856,-2.3543373875805793,32.4594961291706,37.375686325435886
20,constant_mean,test,301580,10.390562262161358,11.586601088497344,-2.1825529019761123,37.40602414378089,41.71176391859044
20,ridge_features,val,105676,5.176564358333792,6.411504580630868,-0.27924375516063793,18.635631690001652,23.081416490271124
20,ridge_features,test,301580,5.594972007336951,6.8530209155429755,-0.11333954706722782,20.141899226413024,24.670875295954712
20,physics_integration,val,105676,7.370764189640929,9.331026372656444,-1.7095191548923823,26.534751082707345,33.5916949415632
20,physics_integration,test,301580,6.693326684376551,8.999420503474012,-0.9199619032221058,24.095976063755582,32.397913812506445
20,cnn,val,105676,6.688521487275118,8.499490992778695,-1.2481186465166232,24.078677354190425,30.598167574003302
20,cnn,test,301580,6.8982580280438635,9.191180076188342,-1.0026546870623165,24.833728900957908,33.08824827427803
20,tcn,val,105676,6.902364107421469,8.630107036234985,-1.317745551048882,24.84851078671729,31.06838533044595
20,tcn,test,301580,7.546320218286774,9.775335688515014,-1.265306033387045,27.166752785832387,35.191208478654055
40,constant_mean,val,105636,9.019216493059025,10.384602422020398,-2.356799845993611,32.46917937501249,37.38456871927343
40,constant_mean,test,301400,10.39357856142085,11.589629455388701,-2.1838319412555456,37.41688282111506,41.72266603939933
40,ridge_features,val,105636,4.860041340756614,6.110698658822882,-0.1623246108853671,17.49614882672381,21.998515171762374
40,ridge_features,test,301400,5.0527740906672856,6.382934501379915,0.03427870184777515,18.18998672640223,22.978564204967693
40,physics_integration,val,105636,7.373183247991084,9.332741374917637,-1.7112162600294272,26.5434596927679,33.597868949703496
40,physics_integration,test,301400,6.695212427794605,9.00138252380128,-0.920567031514514,24.10276474006058,32.40497708568461
40,cnn,val,105636,5.738996239677474,7.324453716930921,-0.6699219625849839,20.660386462838904,26.368033380951317
40,cnn,test,301400,6.990925485831157,8.974122981441475,-0.9089522590432926,25.16733174899217,32.30684273318931
40,tcn,val,105636,6.375805970311084,8.004721128152767,-0.9945186941243085,22.952901493119903,28.81699606134996
40,tcn,test,301400,6.468011557454345,8.571285247757132,-0.7414176042760383,23.28484160683564,30.856626891925675
