window_samples,model,split,n,mae_mps,rmse_mps,r2,mae_kmh,rmse_kmh
20,constant_mean,val,105676,9.01652670254739,10.382135090398856,-2.3543373875805793,32.4594961291706,37.375686325435886
20,constant_mean,test,301580,10.390562262161358,11.586601088497344,-2.1825529019761123,37.40602414378089,41.71176391859044
20,ridge_features,val,105676,5.176564358333792,6.411504580630868,-0.27924375516063793,18.635631690001652,23.081416490271124
20,ridge_features,test,301580,5.594972007336951,6.8530209155429755,-0.11333954706722782,20.141899226413024,24.670875295954712
20,physics_integration,val,105676,7.370764189640929,9.331026372656444,-1.7095191548923823,26.534751082707345,33.5916949415632
20,physics_integration,test,301580,6.693326684376551,8.999420503474012,-0.9199619032221058,24.095976063755582,32.397913812506445
20,cnn,val,105676,4.6918291414270135,6.281578122812473,-0.2279224018374595,16.89058490913725,22.6136812421249
20,cnn,test,301580,5.295352272141569,7.421879070151726,-0.3058439130013668,19.06326817970965,26.718764652546213
20,tcn,val,105676,5.389168072382391,7.044524369600486,-0.5443180357687134,19.40100506057661,25.36028773056175
20,tcn,test,301580,5.566448967843116,7.737074960280473,-0.4191134964499772,20.03921628423522,27.853469857009703
40,constant_mean,val,105636,9.019216493059025,10.384602422020398,-2.356799845993611,32.46917937501249,37.38456871927343
40,constant_mean,test,301400,10.39357856142085,11.589629455388701,-2.1838319412555456,37.41688282111506,41.72266603939933
40,ridge_features,val,105636,4.860041340756614,6.110698658822882,-0.1623246108853671,17.49614882672381,21.998515171762374
40,ridge_features,test,301400,5.0527740906672856,6.382934501379915,0.03427870184777515,18.18998672640223,22.978564204967693
40,physics_integration,val,105636,7.373183247991084,9.332741374917637,-1.7112162600294272,26.5434596927679,33.597868949703496
40,physics_integration,test,301400,6.695212427794605,9.00138252380128,-0.920567031514514,24.10276474006058,32.40497708568461
40,cnn,val,105636,4.469046222279367,5.956915764551312,-0.1045582307075621,16.08856640020572,21.444896752384725
40,cnn,test,301400,5.587437455354333,7.615460158979585,-0.37468544509425916,20.1147748392756,27.415656572326505
40,tcn,val,105636,4.36956850637356,5.7880756002926,-0.04283137341584986,15.730446622944816,20.83707216105336
40,tcn,test,301400,4.72737256667994,6.701651258912358,-0.06457112437078205,17.018541240047785,24.12594453208449
