window_samples,window_s,model,split,n_parameters,best_epoch,train_time_s,n,mae_mps,rmse_mps,r2,mae_kmh,rmse_kmh
20,2.0,cnn,train,27233,24,103.30965161323547,61055,2.1544334546792885,3.2568471832930914,0.8705901580060292,7.755960436845439,11.724649859855129
20,2.0,cnn,val,27233,24,103.30965161323547,105676,4.6918291414270135,6.281578122812473,-0.2279224018374595,16.89058490913725,22.6136812421249
20,2.0,cnn,test,27233,24,103.30965161323547,301580,5.295352272141569,7.421879070151726,-0.3058439130013668,19.06326817970965,26.718764652546213
20,2.0,tcn,train,22881,15,89.99779629707336,61055,2.552732607565929,3.799662687981354,0.8238581177621943,9.189837387237345,13.678785676732875
20,2.0,tcn,val,22881,15,89.99779629707336,105676,5.389168072382391,7.044524369600486,-0.5443180357687134,19.40100506057661,25.36028773056175
20,2.0,tcn,test,22881,15,89.99779629707336,301580,5.566448967843116,7.737074960280473,-0.4191134964499772,20.03921628423522,27.853469857009703
40,4.0,cnn,train,27233,4,43.44672894477844,60987,2.4152589662601907,3.527724071046519,0.8480742758733695,8.694932278536687,12.69980665576747
40,4.0,cnn,val,27233,4,43.44672894477844,105636,4.469046222279367,5.956915764551312,-0.1045582307075621,16.08856640020572,21.444896752384725
40,4.0,cnn,test,27233,4,43.44672894477844,301400,5.587437455354333,7.615460158979585,-0.37468544509425916,20.1147748392756,27.415656572326505
40,4.0,tcn,train,22881,9,71.61534547805786,60987,2.3744508813242415,3.5552324088603102,0.8456956780317221,8.54802317276727,12.798836671897117
40,4.0,tcn,val,22881,9,71.61534547805786,105636,4.36956850637356,5.7880756002926,-0.04283137341584986,15.730446622944816,20.83707216105336
40,4.0,tcn,test,22881,9,71.61534547805786,301400,4.72737256667994,6.701651258912358,-0.06457112437078205,17.018541240047785,24.12594453208449
