epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s
1,0.0010041841004184101,5.542445008772361,False,7.8290611448006056,9.76258616145965,-1.9667124770636026,True,3.536672592163086
2,0.002,3.80175001434732,False,6.824000801573384,8.62581003156076,-1.316036914087507,True,3.6630470752716064
3,0.0019985627455741013,3.5885211704953517,False,6.672750667203296,8.501484565321045,-1.249755073047211,True,3.8225698471069336
4,0.001994255198011272,3.475856278797121,False,6.0956275723932345,7.856343533498237,-0.921262161208112,True,3.6442370414733887
5,0.0019870899920906957,3.3309688437699836,False,5.738996239677474,7.324453716930921,-0.6699219625849839,True,3.4542524814605713
6,0.001977088144595885,3.252482854952695,False,6.609362770483781,8.373635712386951,-1.182598363154447,False,3.5662319660186768
7,0.0019642789926688385,3.1698484410612098,False,6.071830681672713,7.726164603540242,-0.8581193725653116,False,3.7588024139404297
8,0.0019487001077591465,3.10372599898339,False,6.203397185012348,7.846045001684201,-0.9162284681181827,False,3.7266626358032227
9,0.0019303971854204558,3.066982512666634,False,6.7983372282276955,8.643807397492472,-1.325711610864257,False,3.626692533493042
10,0.001909423911277538,3.0263122161280274,False,6.361102875567876,8.150129067533115,-1.0676387902305908,False,3.706617832183838
11,0.0018858418035571024,2.985582736894748,False,6.401018455705952,8.246362157161474,-1.1167545706027693,False,3.397202491760254
12,0.0018597200326442374,2.9601774763474182,False,6.099551395166154,7.801667598030227,-0.8946133083937939,False,3.4669320583343506
13,0.0018311352181937528,2.934283382114221,False,6.777299684597143,8.628745717589664,-1.3176136504612694,False,3.496514081954956
14,0.0018001712043915308,2.886136594684113,False,6.021420517374035,7.764498100027377,-0.8766032946912174,False,3.3970391750335693
15,0.0017669188140250838,2.881884663944775,False,6.184339051124509,7.889802623253261,-0.9376617930509907,False,3.387389898300171
