key,arch,window,policy,val_mae_mps,val_nll,n_parameters,cpu_latency_ms,selected_final
cnn_w20,cnn,20,yaw,4.363574870245728,3.437253759282171,27266,2.9323035000015807,False
tcn_w20,tcn,20,yaw,4.6098157960438995,3.8080299190592313,22914,1.4528560000144353,False
cnn_w40,cnn,40,yaw,4.123789945227311,3.477847601801704,27266,2.883976499997516,True
tcn_w40,tcn,40,yaw,4.399293271435133,3.819298839001443,22914,1.2447475000044506,False
