epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s
1,0.0010041841004184101,6.510118959778313,False,7.903998629141526,9.818254106482051,-2.0006423483957523,True,4.535266399383545
2,0.002,3.6413882261793495,False,6.093254127392522,7.7567797698745204,-0.8728742591378955,True,4.690749883651733
3,0.0019985627455741013,3.2747260686703723,False,6.042704785463174,7.740547481939656,-0.8650438899238688,True,4.697412490844727
4,0.001994255198011272,3.0468931903520424,False,6.454052301106415,8.28012959823435,-1.1341255586070647,False,4.587609052658081
5,0.0019870899920906957,2.8973323720628987,False,5.062839466457311,6.544370602971166,-0.3331575259878563,True,4.9328083992004395
6,0.001977088144595885,2.8101278243724073,False,5.474109675723623,7.095686519313431,-0.5672365069502898,False,4.376300096511841
7,0.0019642789926688385,2.7290623923951007,False,5.421762919063055,7.005471883592301,-0.5276381205252592,False,4.676645517349243
8,0.0019487001077591465,2.68252173618968,False,6.212725336362816,8.047806481419716,-1.016047442516553,False,4.599289178848267
9,0.0019303971854204558,2.6465658152557103,False,5.355107574100868,6.849813460837361,-0.46050546937882797,False,4.788537502288818
10,0.001909423911277538,2.598850216029646,False,5.4434298146988915,7.114562279146276,-0.5755858407306969,False,4.502200365066528
11,0.0018858418035571024,2.5767171692327873,False,5.715368056322151,7.455577700443758,-0.7302477765076014,False,4.815133333206177
12,0.0018597200326442374,2.544581734631971,False,5.197551608144553,6.826368277709649,-0.45052469608268586,False,4.437379837036133
13,0.0018311352181937528,2.5323083710462884,False,5.215997987702373,6.86278709786449,-0.4660431418685891,False,4.393773794174194
14,0.0018001712043915308,2.4955077516519912,False,5.915713004123642,7.7828663638286155,-0.8854926565615042,False,4.712679386138916
15,0.0017669188140250838,2.4669414690835754,False,5.225128802071793,6.828644754238258,-0.45149230752256675,False,4.6411049365997314
