epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s
1,0.0010041841004184101,7.953485586766031,False,7.655145584991077,9.426401411589596,-1.7651917419608156,True,3.9549989700317383
2,0.002,4.790493202849889,False,8.131303520881165,10.001232943611098,-2.112723018789205,False,3.505108594894409
3,0.0019985627455741013,4.07534523175825,False,7.773885067492261,9.587302142393726,-1.8603963845387792,False,3.8917148113250732
4,0.001994255198011272,3.914291417574318,False,8.43340482636062,10.232877244414155,-2.258583997101222,False,4.1646318435668945
5,0.0019870899920906957,3.829568626648104,False,8.057028378571559,9.926040335240671,-2.0660939847359687,False,4.0480592250823975
6,0.001977088144595885,3.7870854147899435,False,7.784550560901702,9.641192960306581,-1.8926436923284453,False,4.177575588226318
7,0.0019642789926688385,3.715107024404226,False,7.406178650344252,9.115519837774546,-1.5858079889794645,True,3.766564130783081
8,0.0019487001077591465,3.6628142658258946,False,7.485120381399047,9.323862513040533,-1.705360306151654,False,4.086952209472656
9,0.0019303971854204558,3.617648022274998,False,7.319422482540725,9.145890744999306,-1.6030673803983388,True,3.9612202644348145
10,0.001909423911277538,3.56680733559905,False,7.273071952598105,9.125462276172025,-1.5914518267038797,True,3.6486198902130127
11,0.0018858418035571024,3.5385868786340184,False,7.375959302514769,9.218321377223317,-1.6444604819005968,False,4.088679313659668
12,0.0018597200326442374,3.5274591044959465,False,7.105457798492923,8.84104782239968,-1.4324329135495124,True,4.166586637496948
13,0.0018311352181937528,3.498433533289657,False,7.157528611522313,8.907516510769492,-1.4691453941292907,False,3.872257709503174
14,0.0018001712043915308,3.477831207517812,False,7.171475855462151,8.979137171968292,-1.5090112246606617,False,4.209511041641235
15,0.0017669188140250838,3.4449213311768077,False,7.384902516603168,9.244633365459107,-1.6595782703319522,False,3.985065221786499
16,0.0017314755820846683,3.4455657296699695,False,7.137741942470736,8.904062432159666,-1.4672308383262362,False,4.093989610671997
17,0.001693945469676355,3.4204326529358773,False,7.366963554612455,9.19759512689228,-1.6325823684694245,False,3.8934879302978516
18,0.0016544385590861912,3.4074172365080666,False,6.918633566763346,8.663465990589035,-1.335698283269044,True,3.6498076915740967
19,0.00161307073088989,3.381743919416919,False,7.27104897121207,9.078998657369716,-1.565129501724417,False,4.144196033477783
20,0.0015699633240551347,3.3716769203996395,False,7.252080149855038,9.009822825016316,-1.5261893124603576,False,4.291756629943848
21,0.0015252427800334814,3.3714041130947505,False,7.941000203896807,9.811875407883624,-1.9959698707205153,False,3.863464593887329
22,0.0014790402718857945,3.344440207599705,False,7.079324268537371,8.850338879812751,-1.4375480875450632,False,4.213984489440918
23,0.0014314913195290593,3.3369495229710915,False,7.025309827865919,8.844276975643286,-1.4342101085692125,False,4.197868824005127
24,0.0013827353922331164,3.3281603165178937,False,7.513643074451923,9.419481172036127,-1.761133191021616,False,4.126452445983887
25,0.0013329154995332603,3.3122609737122266,False,6.902364107421469,8.630107036234985,-1.317745551048882,True,3.858849048614502
26,0.0012821777717586366,3.2957911923675374,False,7.34287272198358,9.11160612315461,-1.5835880515114829,False,3.51711368560791
27,0.0012306710314068036,3.3014438825649006,False,7.476928225535868,9.276672197277643,-1.6780446457847806,False,3.815319776535034
28,0.0011785463566217095,3.2890649312095652,False,7.38415491642083,9.243741085295886,-1.6590648969366892,False,4.187408924102783
29,0.0011259566380554629,3.2897656313979198,False,7.318063746087205,9.097324324491419,-1.5754952155931092,False,4.06984806060791
30,0.001073056130413709,3.2770565473753175,False,7.420184933933262,9.30766290427387,-1.6959676952585157,False,4.3542561531066895
31,0.00102,3.269608600851691,False,7.313434719538296,9.144156543064147,-1.6020803105482608,False,4.1790876388549805
32,0.0009669438695862908,3.255013665956924,False,7.478333579851901,9.330778462103092,-1.7093751815623475,False,4.203956842422485
33,0.0009140433619445373,3.2486387785603146,False,7.31073182467379,9.092092422833735,-1.572533715590699,False,4.1979053020477295
34,0.0008614536433782906,3.2360545819343214,False,7.131529609731702,8.956401784696709,-1.4963215589998637,False,3.7461752891540527
35,0.0008093289685931965,3.2361157460486445,False,7.0143400707098005,8.833442239872568,-1.4282496736846428,False,4.143223285675049
