epoch,lr,train_loss,in_warmup,val_mae_mps,val_rmse_mps,val_r2,best,epoch_time_s,val_nll,val_mean_sigma_mps
1,0.0010041841004184101,4.92642852755712,True,6.303266425731117,8.067576410990908,-1.0254408590816717,True,3.903481960296631,3.519114373016267,9.053260803222656
2,0.002,3.6027360064695766,True,6.445031832333792,8.258813383019037,-1.1226026276894077,False,3.3105580806732178,3.5381611703597486,9.053260803222656
3,0.0019985627455741013,3.2941748218819096,True,5.51276775002378,7.184443849186196,-0.6062742656254927,True,3.475942850112915,3.4369443870936154,9.053260803222656
4,0.001994255198011272,2.9438037425272294,False,5.037755415571513,6.576151892775327,-0.34578927622194455,True,3.7821810245513916,3.6337378736824704,4.308496346528496
5,0.0019870899920906957,2.869141808615183,False,5.100818086581529,6.752766390491492,-0.41904720703456944,False,3.6279382705688477,4.0603864994491214,3.840199203568754
6,0.001977088144595885,2.8404215461469167,False,5.599128037440574,7.364697660295908,-0.68788649012856,False,3.337467908859253,4.644388855694284,3.631680423664087
7,0.0019642789926688385,2.8157511669805912,False,5.262875332273598,7.054516784415974,-0.5487022667292825,False,3.8680946826934814,3.8983212657879407,3.8960724834685085
8,0.0019487001077591465,2.80456402014577,False,6.771429197825776,8.67198923974545,-1.3402963347213261,False,3.64380145072937,4.692108309395378,4.2694773197240625
9,0.0019303971854204558,2.798104936123168,False,5.26082492692951,7.002532071997101,-0.5259616000881377,False,3.282736301422119,4.172164046186056,4.051724642530411
10,0.001909423911277538,2.782459462779461,False,5.514881711626584,7.370627416285748,-0.6906056199038075,False,3.4734106063842773,4.430522352076628,3.899490783434451
11,0.0018858418035571024,2.7802509008271232,False,5.371783184122943,7.25063943347178,-0.636010207938261,False,3.9263088703155518,3.6799319816729312,4.698833406974376
12,0.0018597200326442374,2.7553862808123823,False,6.253525324296747,8.106904141625657,-1.0452361833581039,False,3.9050707817077637,4.790593172555941,3.8053802109516166
13,0.0018311352181937528,2.750075495454918,False,4.9576006508080335,6.640378039023269,-0.3722050112468862,True,3.7713170051574707,4.814725920746363,3.5498813195943364
14,0.0018001712043915308,2.730458705265744,False,4.754002837051419,6.35288614936188,-0.25595921457775006,True,3.5604002475738525,3.6255541497256303,4.183118251236695
15,0.0017669188140250838,2.734756060109737,False,4.791856764137261,6.451272470020549,-0.2951622014389934,False,3.2495510578155518,3.951983972355895,3.9153153115784836
16,0.0017314755820846683,2.7112437044468103,False,5.068741110266973,6.774631873511838,-0.4282518456821576,False,3.89341139793396,3.902779136111511,3.9616912450051838
17,0.001693945469676355,2.717803363770371,False,4.472915412437652,6.083631897542558,-0.15175272494153758,True,3.555748701095581,3.9568784850358947,4.015807818696836
18,0.0016544385590861912,2.702826856932274,False,5.111660465680887,6.890616520917741,-0.4775750665348675,False,3.35412335395813,4.309577924476959,3.6944698177326267
19,0.00161307073088989,2.6995651973630332,False,4.666229210459699,6.322646820078471,-0.2440311007408762,False,3.663283586502075,4.065946783519736,3.658817147113776
20,0.0015699633240551347,2.6843813979199083,False,5.486152697604915,7.299494679496524,-0.6581315561898664,False,3.7795345783233643,4.364639258421184,4.06789215167911
21,0.0015252427800334814,2.699624570059782,False,4.805105760457285,6.490883178648102,-0.3111155782182671,False,3.52301287651062,3.9339978455301288,3.8807217483506924
22,0.0014790402718857945,2.676577982966178,False,5.345457206659884,7.141281387691406,-0.5870319996666902,False,3.6924514770507812,5.060841265753807,3.6588888953126255
23,0.0014314913195290593,2.6775873188109083,False,5.431752047616497,7.243620293698149,-0.6328441903599515,False,3.5835318565368652,4.45902468736637,3.884521447881566
24,0.0013827353922331164,2.6663904471378266,False,4.673036689796489,6.408076889826495,-0.2778763132768549,False,3.3622829914093018,3.7375084266650798,4.301392758290025
25,0.0013329154995332603,2.664304981164524,False,4.312696689921992,5.854816083806571,-0.06674325680426874,True,3.8357129096984863,4.064130800684812,3.724344901124346
26,0.0012821777717586366,2.6619423573007945,False,4.909666153717676,6.622112084411543,-0.3646662352441006,False,3.6824471950531006,3.913098209889546,4.039598981097395
27,0.0012306710314068036,2.6575733457538284,False,4.750577696110016,6.4378416367209095,-0.28977504708688073,False,3.2656681537628174,4.018594938608162,3.9465661707495214
28,0.0011785463566217095,2.659945438539022,False,4.486160497931274,6.1149852566562455,-0.16365494758854315,False,3.633253574371338,3.716200296348367,3.962674055690841
29,0.0011259566380554629,2.6426853861272623,False,5.199994093383033,7.058973591101946,-0.5506597209782436,False,3.670820951461792,4.35655943890494,3.998024426608789
30,0.001073056130413709,2.6381866247645567,False,4.628714276295162,6.251165302411829,-0.21606099402565904,False,3.5536136627197266,4.511653307282053,3.6203331162146184
31,0.00102,2.624660654328065,False,4.998211230382104,6.787519719084143,-0.4336911368796479,False,3.6703994274139404,4.061197085419463,4.06697147274888
32,0.0009669438695862908,2.621613197117353,False,4.91925483966668,6.649366694867686,-0.3759224582308738,False,3.7587976455688477,4.146969645159038,4.266911962351763
33,0.0009140433619445373,2.630048470641225,False,4.679128105002858,6.348771941164024,-0.2543329916678341,False,3.5961508750915527,4.1290656888967785,3.9633235773563413
34,0.0008614536433782906,2.619358826058472,False,4.577807077337711,6.235861375808388,-0.21011403007958074,False,3.9396111965179443,3.871367832942522,3.777312656857403
35,0.0008093289685931965,2.6157419539759235,False,4.8127033414901526,6.599320464337577,-0.3552887346070286,False,3.4221689701080322,3.9338842892279806,4.073227363796474
