ablation,window_samples,arch,augmentation,split,mae_mps,rmse_mps,r2
window_size,20,cnn,so3,val,6.688521487275118,8.499490992778695,-1.2481186465166232
window_size,20,cnn,so3,test,6.8982580280438635,9.191180076188342,-1.0026546870623165
window_size,20,tcn,so3,val,6.902364107421469,8.630107036234985,-1.317745551048882
window_size,20,tcn,so3,test,7.546320218286774,9.775335688515014,-1.265306033387045
window_size,40,cnn,so3,val,5.738996239677474,7.324453716930921,-0.6699219625849839
window_size,40,cnn,so3,test,6.990925485831157,8.974122981441475,-0.9089522590432926
window_size,40,tcn,so3,val,6.375805970311084,8.004721128152767,-0.9945186941243085
window_size,40,tcn,so3,test,6.468011557454345,8.571285247757132,-0.7414176042760383
